cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
Italy Cuisine,n_NIY1KTi-R5DPkduEUKIw,Ovest Pizzoteca by Luzzo's,513 W 27th St,40.7507476806641,-74.0030212402344,518,4,10001
Italy Cuisine,ZUrGqOG2cetGI-KKXk3c2g,Chazz Palminteri Italian Restaurant,30 West 46th St,40.756473,-73.980563,230,4,10036
Italy Cuisine,xbrQ2dHuQoFJmNxAuOky4A,Vic's,31 Great Jones St,40.72693,-73.99319,435,4,10012
Italy Cuisine,h37t9rA06Sr4EetJjKrfzw,Don Angie,103 Greenwich Ave,40.73778,-74.00197,270,4.5,10014
Italy Cuisine,GZvelhGenbfJxc4_SG_RJw,Cielo Italian Restaurant,242 W 49th St,40.76128,-73.9859,430,4,10019
Italy Cuisine,7dhXkHB_Eg1UJ7Yf9wQCjQ,Sofia's of Little Italy,143 Mulberry St,40.71888,-73.99777,381,3,10013
Italy Cuisine,FNxOWxts63oDRKwy9Pbfzw,Tarallucci E Vino - Nomad,44 E 28th St,40.7436553,-73.9852171,151,4,10016
Italy Cuisine,LTi4_wcCVmqQeJ_jgTEbOQ,Emporio,231 Mott St,40.7226371,-73.9951331,760,4,10012
Italy Cuisine,lwfCl81r5a0mjxDNxNGC9w,Il Buco,47 Bond St,40.72583,-73.99299,643,4,10012
Italy Cuisine,M4pCWzdBCkp2g_d834a7Hw,Sauce,78 Rivington St,40.720512182453,-73.989400288419,778,4,10002
Italy Cuisine,BA0_zeBrnugK2l0HHp38mw,Via Della Pace,48 E 7th St,40.7277013287721,-73.9877394513958,525,4,10003
Italy Cuisine,KCBfW6sWl9Gx-LvMff08jg,Osteria Morini Manhattan,218 Lafayette St,40.7219179851303,-73.9976472073402,1114,4,10012
Italy Cuisine,o5mMVFk4Hcpk2FuKfgTgdg,Malaparte,753 Washington St,40.73687,-74.00812,303,4,10014
Italy Cuisine,tLZfepIfSf0a80zHQTbTGQ,Trattoria Zero Otto Nove,2357 Arthur Ave,40.8546515,-73.8883526,732,4,10458
Italy Cuisine,zwOAiVT4pAmpNGXzj-t5MA,Lilia,567 Union Ave,40.71757,-73.95236,734,4,11211
Italy Cuisine,Z67mgMkN3RfdPEX5mXsyYA,Piacere,351 Broome St,40.7196979,-73.9951175,664,4,10013
Italy Cuisine,kr5fRwdHtVwPPwSJxm9Fkg,Il Posto Accanto,190 E 2nd St,40.72238,-73.98403,205,4.5,10009
Italy Cuisine,V3USzFEGhuoXez4G2Rk11A,Tavola,488 9th Ave,40.755403,-73.994516,892,4,10018
Italy Cuisine,zjglOaCY8xQu3s2eKnLFzw,Mozzarella & Vino,33 W 54th St,40.76204,-73.97718,251,4,10019
Italy Cuisine,1qotQS-eDg6_TdBU0cQiPg,Vincent's Restaurant,119 Mott St,40.7179220761959,-73.9975306433213,251,3,10013
Italy Cuisine,aJJlY5xvqS180wtRIHEWqA,Cotenna,21 Bedford St,40.72903,-74.00357,381,4,10014
Italy Cuisine,OAqsZMbjv66nOMqlimnYuQ,Uva,1486 2nd Ave,40.7722,-73.95566,2280,4,10075
Italy Cuisine,4ixWiPyYysS2i8LAg4qzrQ,La Villetta,398 E 52nd St,40.7549171,-73.9650879,76,4,10022
Italy Cuisine,rp8S7scxOkVVeG7dNneMGQ,L'Artusi,228 W 10th St,40.733714,-74.005068,1761,4.5,10014
Italy Cuisine,E5rmVdrCn-0uwD2M9nkXdw,Da Capo,1392 Madison Ave,40.7877696714384,-73.9538384601474,191,4.5,10029
Italy Cuisine,9iC39Z1YjZKbrrCANgzBXg,Sergimmo Salumeria,456 9th Ave,40.754296,-73.995498,661,4,10018
Italy Cuisine,eVk4F9ixl89zyUHJ1G2Aiw,Luzzos La Pizza Napoletana,211 1st Ave,40.730616,-73.9834846,1024,4,10003
Italy Cuisine,22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,200 W 44th St,40.7574955824307,-73.9866844540098,3608,4,10036
Italy Cuisine,oRdM7n-AfBPBGAlH4Q0Sag,My Pie Pizzeria Romana,690 Lexington Ave,40.7608512,-73.9694809,714,4.5,10022
Italy Cuisine,HD0e3eHwv573qHZOJJitWg,Aurora Soho,510 Broome St,40.723543,-74.003199,447,4,10013
Italy Cuisine,ugIv_ylUdqRIlx6AD8lTJA,Basso56,234 W 56th St,40.7655,-73.98267,600,4.5,10019
Italy Cuisine,fyC2cBsQ0FsMJmv0jSworg,Donna Margherita,1304 2nd Ave,40.76652,-73.9598,53,4,10065
Italy Cuisine,yB4ziqFM_7V8JxJas7CHfA,Ulivo,4 W 28th St,40.7447371960713,-73.9880339428782,283,4,10001
Italy Cuisine,JOvcJqD5eCFrGjFa6k7vpQ,Zia Maria-Chelsea,318 W 23rd St,40.7454863,-73.9993392,218,4,10011
Italy Cuisine,Vs8kQ4R381y27AH018gLpg,Supper,156 E 2nd St,40.7229,-73.98527,1259,4,10009
Italy Cuisine,4eGCuMwKRCCrYHOobEsFpA,Lusardi's,1494 2nd Ave,40.7724199,-73.9555,184,4,10075
Italy Cuisine,Fuk7jDI2XAcvHxqau5rKWA,Acqua Restaurant NYC,"21 Peck Slip, Water St",40.7082567,-74.001797,360,4,10038
Italy Cuisine,a-XBTXQM4qigxUgpTmS7Fg,Codino,62 Carmine St,40.7300643486969,-74.0037936652668,62,4,10014
Italy Cuisine,z-y9GDoRr1S9Ma6b2n0A4A,Enoteca Maria,27 Hyatt St,40.642,-74.07729,381,4,10301
Italy Cuisine,wOq-Jt26jnFf_rhF4r5D6w,Scampi,30 W 18th St,40.73902,-73.99358,201,4,10011
Italy Cuisine,VWErTDzcg23iiohqyc1AQQ,Rossopomodoro,118 Greenwich Ave,40.7384763561724,-74.0020935999868,229,4,10011
Italy Cuisine,clOFor0bFSjse7EUfdRacg,Faro,436 Jefferson St,40.707407,-73.922839,268,4,11237
Italy Cuisine,nM2AdRp2iSJHi4MgvIrEBg,Oak Tuscan Truffle Restaurant,28 Greenwich Ave,40.735042,-74.00002,78,4.5,10011
Italy Cuisine,faukkggAc_tuJ4THYlf4fg,La Masseria,235 W 48th St,40.760868632784,-73.986348802868,578,4,10036
Italy Cuisine,wZkZmjZEJDraLJgAalnHvA,Pisticci,125 La Salle St,40.8141624,-73.960288,820,4,10027
Italy Cuisine,ZVa3-O6LMxZXSpKG0J1h-w,Piccolo Angolo Restaurant,621 Hudson St,40.7378601855952,-74.0058052539825,538,4,10014
Italy Cuisine,UtyDjJSV2TYifsPhlHn_7Q,Sal's Little Italy,384 Broome St,40.7205027153381,-73.9966911411265,294,3.5,10013
Italy Cuisine,ip733nbgjaMMazfQ-Ibhgg,Fiat Cafe,203 Mott St,40.721433,-73.995689,561,4,10012
Italy Cuisine,IxwuIDcpRa7EpQs7V481Ww,Il Gattopardo,13-15 W 54th St,40.7614994602915,-73.976308999227,148,4,10019
Italy Cuisine,5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,147 W 43rd St,40.75641,-73.98547,2010,4,10036
Italy Cuisine,HJg9TbpyWvb6-AFPdb7NCA,King,18 King St,40.7275,-74.00346,151,3.5,10014
Italy Cuisine,LnMRZhKtOrW1eL04FiPYTg,Senza Gluten,206 Sullivan St,40.7290911050589,-74.0003699151971,543,4,10012
